abandon	abandon [ə'bændən] (動) 放棄；拋棄
aline	aline [ə'laɪn] (動) 排列整齊；對齊　(動) 使成一直線
alive	alive ['əlaɪv] (形) 活著的；有生命的　(形) 精力充沛的；生氣勃勃的
alkaline	alkaline ['ælkəˌlaɪn] (形) 鹼性的；含鹼的
all	all ['ɔl] (代) 全部；所有　(形) 全部的；整個的　(副) 完全地；非常
allay	allay [ə'le] (動) 減輕；緩解　(動) 平撫；安慰
allegation	allegation [ə'lɛdʒəʃən] (名) 指控；聲稱　(名) 未經證實的說法
allege	allege [ə'lɛdʒ] (動) 聲稱；宣稱　(動) 指控；控告
alleged	alleged [ə'lɛdʒd] (形) 聲稱的；據說的　(動) 聲稱；宣稱
allegedly	allegedly [ə'lɛdʒɪdli] (副) 據稱；據說　據受指控
allegiance	allegiance [ə'lidʒəns] (名) 忠誠；效忠　(名) 效忠的對象
allergen	allergen ['ælɚdʒən] (名) 過敏原；致敏物質
allergic	allergic [ə'lɝdʒɪk] (形) 過敏的；對…過敏的
allergy	allergy ['ælɚdʒi] (名) 過敏；過敏症　(形) 易過敏的；有過敏症的
alleviate	alleviate [ə'lɛviɛt] (動) 減輕；緩解　(動) 舒緩；改善
alleviation	alleviation [əˌlɛvɪ'eʃən] (名) 減輕；緩解　(名) 救濟；補救
alley	alley ['æli] (名) 小巷；巷道　(名) 後街；後巷
alliance	alliance [ə'laɪəns] (名) 聯盟；同盟　(動) 結成聯盟；聯合
allied	allied [ə'laɪd] (形) 聯合的；結盟的　(動) 聯合；結盟
alligator	alligator ['æləˌɡetɚ] (名) 短吻鱷；美洲鱷
allocate	allocate ['æləˌket] (動) 分配；分派　(動) 撥款；撥給
allot	allot [ə'lɑt] (動) 分配；分派　(動) 撥給；預留
allotment	allotment [ə'lɑtmənt] (名) 分配；配額　(名) 小塊土地；菜園
allow	allow [ə'laʊ] (動) 允許；讓　(動) 准許；同意
allowance	allowance [ə'laʊəns] (名) 零用錢；津貼　(名) 容許量；寬容
alloy	alloy [ə'lɔɪ] (名) 合金；混合物　(動) 混合；參合
allsortsof	allsortsof ['ɔlsɔrts əv] (片) 各種各樣的；形形色色的
allude	allude [ə'lud] (動) 暗示；間接提及　(動) 拐彎抹角地談到
allure	allure [ə'ljʊr] (動) 誘惑；吸引　(名) 魅力；吸引力
alluring	alluring [ə'lʊrɪŋ] (形) 迷人的；吸引人的　(形) 誘人的；引人注目的
allusion	allusion [ə'luʒən] (名) 暗示；典故　(動) 暗指；提及
ally	ally (名) [ˈælaɪ] 盟友；同盟國　(動) [əˈlaɪ] 與…結盟；聯合
almond	almond ['ɑmənd] (名) 杏仁；杏仁樹
almost	almost ['ɔlmoʊst] (副) 幾乎；差不多　(副) 快要；即將
aloft	aloft ['ɔfт] (副) 高空中；在空中　(形) 在上面的；升起的
alone	alone ['əlon] (形) 單獨的；孤獨的　(副) 單獨地；獨自地
along	along [ə'lɔŋ] (介) 沿著；順著　(副) 一起；一同
alongside	alongside [ə'lɔŋˌsaɪd] (介) 沿著；在...旁邊　(副) 一起；並肩
aloof	aloof [ə'luf] (形) 冷漠的；疏遠的　(副) 冷漠地；遠遠地
alopecia	alopecia [ə'lɑpɪʃə] (名) 禿頭症；掉髮症　(形) 禿頭的；掉髮的
aloud	aloud [ə'laʊd] (副) 大聲地；出聲地　(形) 大聲的；出聲的
alphabet	alphabet ['ælfəˌbɛt] (名) 字母表；字母　(名) 基本知識；入門
already	already ['ɔlrɛdi] (副) 已經；已經做完
also	also ['ɔlsoʊ] (副) 也；同樣　(連) 而且；另外
alt-righter	alt-righter ['ɔlt 'raɪtɚ] (名) 極右派人士；另類右翼支持者
altar	altar ['ɔltɚ] (名) 祭壇；聖壇　(動) 改變；修改
alter	alter ['ɔltɚ] (動) 改變；修改　(動) 改小；改大
alteration	alteration [ˌɔltɚ'eʃən] (名) 改變；修改　(名) 改動；裁縫改衣
alternate	alternate (動) [ˋɔltɚˏnet] 輪流；交替　(形) [ˋɔltɚnɪt] 輪流的；交替的
alternately	alternately ['ɔl.tɚ.nɪt.li] (副) 交替地；輪流地　(副) 另一方面；相反地
alternative	alternative ['ɔltɚnətɪv] (形) 替代的；另外的　(名) 替代品；另一選擇
alternatively	alternatively [ɔl'tɝnətɪvli] (副) 另一方面；或者　(副) 作為替代；反之
although	although [ɔl'ðo] (連) 雖然；縱然　(副) 儘管；雖說
altitude	altitude ['æltəˌtjud] (名) 海拔；高度　(名) 高度角；仰角
altogether	altogether [ɔltə'gɛðɚ] (副) 總共；一共　(副) 完全地；根本上
aluminum	aluminum [ə'lumɪnəm] (名) 鋁；鋁製品
alumni	alumni [ə'lʌmnaɪ] (名) 校友；畢業生
alumnus	alumnus [ə'lʌmnəs] (名) 校友；校友會成員
always	always ['ɔlwez] (副) 總是；始終　(副) 永遠；一直
amalgamate	amalgamate [ə'mælɡəˌmet] (動) 合併；合並　(動) 混合；融合
amalgamation	amalgamation [æməl'geʃən] (名) 合併；融合　(名) 混合物；合成體
amass	amass [ə'mæs] (動) 積累；累積　(動) 聚集；集合
amateur	amateur ['æməˌtʃɚ] (名) 業餘愛好者；非職業人士　(形) 業餘的；非專業的
amaze	amaze [ə'mez] (動) 使驚訝；使驚奇
amazed	amazed [ə'mezd] (形) 感到吃驚；驚訝　(動) 使...感到驚奇
amazement	amazement [ə'mezmənt] (名) 驚訝；驚奇　(名) 令人驚奇的事物
amazing	amazing [ə'meɪzɪŋ] (形) 令人驚奇的；非凡的　(形) 令人印象深刻的；了不起的
amazingly	amazingly [ə'me zɪŋli] (副) 令人驚訝地；非常地
ambassador	ambassador [æm'bæsədɚ] (名) 大使；外交官　(名) 代表；使者
ambiguity	ambiguity [ˌæmbɪ'ɡjuɪti] (名) 模糊；歧義　(名) 不明確；含混
ambiguous	ambiguous [æm'bɪɡuəs] (形) 模糊的；含混的　(形) 不明確的；令人困惑的
ambiguously	ambiguously [æm'bɪɡjuəsli] (副) 模糊地；含混地　(副) 曖昧地；不明確地
ambition	ambition [æm'bɪʃən] (名) 野心；抱負　(名) 強烈的欲望；雄心
ambitious	ambitious [æm'bɪʃəs] (形) 有抱負的；野心勃勃的　(形) 需要付出努力的；艱難的
ambivalence	ambivalence [ˌæmbə'vɛləns] (名) 矛盾的感情；模稜兩可的態度
ambivalent	ambivalent [æm'bɪvələnt] (形) 矛盾的；態度不明確的　(形) 搖擺不定的；猶豫的
ambivert	ambivert ['æmbɪˌvɝt] (名) 兼具內向和外向特質的人；雙向性格者
ambulance	ambulance ['æmbjələns] (名) 救護車；急救車
ambush	ambush [['æmˌbʊʃ]] (名) 埋伏；伏擊　(動) 埋伏攻擊；突然襲擊
amenable	amenable [ə'minəbl] (形) 易接受的；願意同意的　(形) 順從的；聽話的
amend	amend [ə'mɛnd] (動) 修改；改正　(動) 修訂法律；改進
amendment	amendment [ə'mɛndmənt] (名) 修正案；改正　(動) 修改；改正
amends	amends [ə'mɛndz] (名) 賠償；補償　(動) 彌補；改正
amenity	amenity [ə'mɛnəti] (名) 便利設施；舒適設備　(名) 便利；舒適
America	America [ə'mɛrɪkə] (名) 美國；美洲
American	American ['ɛmɚɪkən] (形) 美國的；美國人的　(名) 美國人
amiable	amiable ['emɪəbəl] (形) 和藹可親的；親切友善的
amicable	amicable ['æmɪkəbəl] (形) 友善的；和睦的　(形) 和平的；友好的
amid	amid [ə'mɪd] (介) 在...之中；在...之間　(介) 被...所包圍
amidst	amidst [ə'mɪdst] (介) 在...之中；在...當中　(副) 在中間；在當中
ammonia	ammonia [ə'monɪə] (名) 氨；阿摩尼亞
ammonium	ammonium [ə'monɪəm] (名) 銨；銨鹽
ammunition	ammunition [ˌæmjə'nɪʃən] (名) 彈藥；武器
amnesty	amnesty ['æmnəsti] (名) 赦免；特赦　(動) 赦免；特赦
among	among [ə'mʌŋ] (介) 在...之中；在...之間　(介) 由...分享
amount	amount [ə'maʊnt] (名) 數量；金額　(動) 共計；達到
ampersand	ampersand ['æmpɚˌsænd] (名) 符號(&)；並且符號
amphibian	amphibian [æm'fɪbɪən] (名) 兩棲動物　(形) 兩棲的；水陸兩用的
ample	ample ['æmpəl] (形) 充足的；豐富的　(形) 寬敞的；寬闊的
amplify	amplify ['æmpləˌfaɪ] (動) 放大；擴大　(動) 增強；加強
amply	amply ['æmpli] (副) 充分地；足夠地　(副) 慷慨地；大量地
amputate	amputate ['æmpjəˌtet] (動) 截肢；切除肢體
amputation	amputation [ˌæmpjə'teʃən] (名) 截肢；切除肢體
amputee	amputee [æmpjʊ'ti] (名) 截肢者；被截肢的人
amuse	amuse ['əmjuz] (動) 逗樂；使高興　(動) 消遣；娛樂
amused	amused [ə'mjuzd] (形) 感到好笑的；被逗樂的　(動) 逗樂；使娛樂
amusement	amusement [ə'mjuzmənt] (名) 娛樂；消遣　(名) 愉快；樂趣
amusing	amusing [ə'mjuzɪŋ] (形) 有趣的；令人發笑的　(形) 娛樂性的；使人愉快的
analogous	analogous [ə'nælәdʒәs] (形) 類似的；相似的　(形) 對應的；平行的
analogy	analogy [ə'nælədʒi] (名) 類比；比喻　(名) 類似之處；相似點
analysis	analysis [ə'næləsɪs] (名) 分析；解析　(動) 分析；檢驗
analyst	analyst ['ænəlɪst] (名) 分析師；分析人員
analytical	analytical [ˌænə'lɪtɪkəl] (形) 分析的；善於分析的　(形) 邏輯的；有條理的
analyze	analyze [['ænəˌlaɪz]] (動) 分析；解析　(動) 研究；檢查
anatomy	anatomy [ə'nætəmi] (名) 解剖學；身體結構　(名) 詳細分析；構成
ancestor	ancestor ['ænsɛstɚ] (名) 祖先；祖宗　(名) 前人；前代的人
ancestry	ancestry ['ænsɛstri] (名) 祖先；家族來源　(名) 血統；家世背景
anchor	anchor ['æŋkɚ] (名) 錨；支柱　(動) 拋錨；固定　(形) 主要的；關鍵的
ancient	ancient ['ɛn∫ənt] (形) 古代的；古老的　(形) 年代久遠的；遠古的
anecdotal	anecdotal [ˌænɪk'dotəl] (形) 軼事的；基於個人故事的　(形) 不夠科學的；缺乏證據的
anecdote	anecdote ['ænɪkˌdot] (名) 趣事；軼事　(名) 簡短故事；小故事
anemia	anemia [ə'nimɪə] (名) 貧血；紅血球不足
anesthesia	anesthesia [ænəs'θiʒə] (名) 麻醉；麻醉藥　(名) 感覺喪失；無感覺
aneurysm	aneurysm [['æn.jə.rɪ.zəm]] (名) 動脈瘤；血管瘤
angel	angel ['ɛndʒəl] (名) 天使；神的信使　(名) 善良的人；好心人
angelic	angelic ['ɛndʒəlɪk] (形) 天使般的；純潔的　(形) 溫柔善良的；天真的
anger	anger ['æŋgɚ] (名) 憤怒；生氣　(動) 使生氣；激怒
angle	angle ['æŋɡl] (名) 角度；角　(動) 轉向；傾斜　(名) 觀點；立場
angler	angler ['æŋɡlɚ] (名) 釣魚者；釣手
angry	angry ['æŋɡri] (形) 生氣的；憤怒的　(形) 兇狠的；猛烈的
angular	angular [['æŋɡjəlɚ]] (形) 有稜角的；瘦削的　(形) 笨拙的；不靈活的
animal	animal ['ænəməl] (名) 動物；獸類　(形) 動物的；獸性的
animate	animate (動) [ˋænəmet] 使有生氣；使活躍　(形) [ˋænəmɪt] 生動的；活潑的
animated	animated ['ænəˌmetɪd] (形) 生動的；充滿活力的　(形) 動畫的；用動畫製作的
animation	animation [ˌænə'meʃən] (名) 動畫；動畫製作　(名) 活力；生氣
animosity	animosity [ˌænɪ'mɑsəti] (名) 仇恨；敵意　(名) 深深的厭惡
ankle	ankle ['æŋkəl] (名) 腳踝；踝關節
annex	annex (動) [ə`nɛks] 併吞；兼併　(名) [`ænɛks] 附件；附屬建築
annihilate	annihilate [ə'nɑɪəˌlet] (動) 徹底摧毀；完全消滅
annihilation	annihilation [əˌnaɪə'leʃən] (名) 完全摧毀；殲滅　(名) 湮滅；消亡
annihilative	annihilative [ə'nɑɪələtɪv] (形) 滅絕的；摧毀性的
anniversary	anniversary [ænɪ'vɝsɚi] (名) 週年紀念；周年紀念日
announce	announce [ə'naʊns] (動) 宣佈；公告　(動) 播報；報告
announcement	announcement [ə'naʊnsmənt] (名) 公告；通知　(名) 宣布；宣傳
announcer	announcer [ə'naʊnsɚ] (名) 播音員；主持人　(名) 宣布者；公告人
annoy	annoy [ə'nɔɪ] (動) 惹惱；使煩擾　(動) 騷擾；打擾
annoyance	annoyance [ə'nɔɪəns] (名) 煩惱；惱怒　(動) 使煩惱；惹人厭
annoyed	annoyed [ə'nɔɪd] (形) 惱怒的；煩躁的　(動) 使生氣；使煩惱
annoying	annoying [ə'nɔɪ.ɪŋ] (形) 惱人的；令人厭煩的　(動) 惱人；使厭煩
annual	annual ['ænjuəl] (形) 每年的；年度的　(名) 年刊；年鑑
annually	annually ['ænjuəli] (副) 每年；按年度
annul	annul [ə'nʌl] (動) 廢除；宣佈無效　(動) 取消；撤銷
anode	anode ['ænˌod] (名) 陽極；正極
anoint	anoint ['ɔɪnt] (動) 塗油；膏抹　(動) 任命；授予權力
anomaly	anomaly [ə'nɑməli] (名) 異常；反常現象　(名) 不規則；偏差
anonymous	anonymous [ə'nɑnəməs] (形) 匿名的；無名的　(形) 身份不明的；來源不詳的
another	another [ə'nʌðɚ] (形) 另一個；其他的　(代) 另一個；別的
answer	answer ['ænsɚ] (名) 答案；回答　(動) 回答；解答
ant	ant [ænt] (名) 螞蟻；蟻
antagonistic	antagonistic [ˌæn'tægənɪstɪk] (形) 對立的；敵對的　(形) 相反的；不相容的
antagonize	antagonize [æn'tæɡəˌnaɪz] (動) 激怒；惹惱　(動) 對抗；使成為敵人
Antarctic	Antarctic [ænt'ɑrktɪk] (形) 南極的；南極地區的　(名) 南極；南極地區
Antarctica	Antarctica [æn'tɑrktɪkə] (名) 南極洲；南極
antecedent	antecedent [ˌæntə'sidənt] (名) 前因；先行詞　(形) 在前的；先發生的
antelope	antelope ['æntəˌlop] (名) 羚羊；跳羚
antenna	antenna [æn'tɛnə] (名) 天線；觸角
anthem	anthem ['ænθəm] (名) 國歌；聖歌　(名) 象徵；代表作
anthropologist	anthropologist [ˌænθrə'pɑlədʒɪst] (名) 人類學家；研究人類文化和社會的學者
anthropology	anthropology [ˌænθrə'pɑlədʒi] (名) 人類學；人類文化和社會的研究
anthropomorphic	anthropomorphic [ˌænθrəpə'mɔrfɪk] (形) 擬人化的；賦予人格特徵的
antibiotic	antibiotic [ˌæntɪbaɪ'ɑtɪk] (名) 抗生素　(形) 抗生素的；殺菌的
antibody	antibody ['ɛntɪˌbɑdi] (名) 抗體；對抗病原體的蛋白質
anticipate	anticipate [æn'tɪsəˌpet] (動) 預期；期待　(動) 先於...之前做；預先準備
anticipation	anticipation [ænˌtɪsə'peʃən] (名) 期待；預期　(名) 興奮的期盼感
antidote	antidote ['æntɪˌdot] (名) 解毒劑；對抗毒物的藥物　(名) 解決問題的方法；補救措施
antioxidant	antioxidant [ˌænti'ɑksɪdənt] (名) 抗氧化物；防止氧化的物質
antipathy	antipathy [æn'tɪpəθi] (名) 厭惡；反感　(動) 厭惡；討厭
antiquarian	antiquarian [ˌæn'tɪkwɛrɪən] (形) 古董的；古書籍的　(名) 古董收藏家；古書籍研究者
antiquated	antiquated [æn'tɪkweɪtɪd] (形) 過時的；陳舊的　(形) 古老的；年代久遠的
antique	antique [æn'tik] (形) 古老的；古董的　(名) 古董；古物
antithesis	antithesis [æn'tɪθəsɪs] (名) 對立；對比　(名) 相反的事物
antivirus	antivirus [ˌæntɪ'vaɪrəs] (名) 防毒軟體；反病毒程式
antonym	antonym ['æntəˌnɪm] (名) 反義詞；對立詞
anxiety	anxiety [æŋ'zaɪəti] (名) 焦慮；不安　(名) 擔心；憂慮
anxious	anxious ['æŋkʃəs] (形) 焦慮的；不安的　(形) 渴望的；急切的
anxiously	anxiously ['æŋk.ʃəs.li] (副) 焦急地；不安地
any	any ['ɛni] (形) 任何的；任意一個　(代) 任何人；任何事物
anybody	anybody ['ɛniˌbɑdi] (代) 任何人；誰　(代) 重要人物
anyhow	anyhow ['ɛnɪˌhaʊ] (副) 無論如何；反正　(連) 然而；不過
anymore	anymore ['ɛnimoɚ] (副) 再；已不；不再
anyone	anyone ['ɛniˌwʌn] (代) 任何人；任何一個人
anything	anything ['ɛnɪθɪŋ] (代) 任何東西；任何事物　(名) 重要的事；值得注意的事
anytime	anytime ['ɛnitaɪm] (副) 任何時候；隨時　(名) 任意時刻
anyway	anyway [ɛn'we] (副) 無論如何；不管怎樣　(連) 不過；然而
anywhere	anywhere ['ɛnihwɛr] (副) 任何地方；到處　(代) 任何地點
apart	apart [ə'pɑrt] (副) 分開；分散　(介) 除了…之外
apartheid	apartheid ['ɑpɑrˌted] (名) 種族隔離制度；種族分離　(形) 被隔離的；被分離的
apartment	apartment [ə'pɑrtmənt] (名) 公寓；住宅　(名) 套房；房間
apathetic	apathetic [ə'pæθɛtɪk] (形) 冷漠的；無感的　(形) 懶散的；不關心的
apathetically	apathetically [æpə'θɛtɪkli] (副) 冷漠地；漠不關心地　缺乏熱情地
apathy	apathy ['æpəθi] (名) 冷漠；無動於衷　(形) 冷淡的；無感的
ape	ape ['ep] (名) 猿；類人猿　(動) 模仿；模擬
apex	apex ['eˌpɛks] (名) 頂點；最高峰　(名) 高潮；巔峰時期
apnea	apnea [æp'niə] (名) 呼吸暫停；睡眠呼吸中止
apologist	apologist ['ɑpələdʒɪst] (名) 為某人或某事辯護者；道歉者
apologize	apologize ['ɑpɑlɑdʒaɪz] (動) 道歉；認錯　為某事表示遺憾
apology	apology [ə'pɑlədʒɪ] (名) 道歉；為...表示歉意　(動) 為...道歉；向...認錯
appall	appall [ə'pɔl] (動) 使震驚；使驚愕　使感到厭惡
appalling	appalling ['əpɔlɪŋ] (形) 令人震驚的；極其糟糕的　(形) 可怕的；駭人的
apparatus	apparatus [ə'pærətəs] (名) 儀器；裝置　(名) 器材；設備
apparel	apparel [ə'pɛrəl] (名) 衣服；服裝　(動) 穿著；打扮
apparent	apparent [ə'pɛrənt] (形) 明顯的；似乎的　(副) 明顯地；表面上
apparently	apparently [ə'pɛrəntli] (副) 似乎；看起來　明顯地；據說
appeal	appeal [ə'pil] (名) 上訴；呼籲　(動) 吸引；打動；上訴
